product_id,product_name,price,rating,review_count,link,platform,normalized_title,title_length,price_bucket,cluster,price_score,rating_score,review_score,final_score
16_ebay,"BELLAVITA White Oud Unisex | Long Lasting | Perfume for Man & Perfume for Woman | EDP 100ml | Orange, Patchouli, Musk | Oud, Citrus & Spicy Premium Fragrance",565.0,4.1,0,,ebay,bellavita white oud unisex long lasting perfume for man perfume for woman edp 100ml orange patchouli musk oud citrus spicy premium fragrance,22,low,0,0.8633440514469454,0.82,0.5,0.7733376205787782
17_ebay,"Wild Stone Ultra Sensual Perfume Spray for Men, 100ml, A Sensory Treat for Casual Encounters, Aromatic Blend of Masculine Fragrances",384.0,4.1,0,,ebay,wild stone ultra sensual perfume spray for men 100ml a sensory treat for casual encounters aromatic blend of masculine fragrances,20,very_low,0,0.9215434083601286,0.82,0.5,0.7966173633440515
18_ebay,"Bella Vita Luxury Long Lasting Unisex Perfume Gift Set | Perfume for Man | Gifts for Woman | 4x20ml | Woody, Aquatic & Sweet Premium Fragrance",467.0,4.3,0,,ebay,bella vita luxury long lasting unisex perfume gift set perfume for man gifts for woman 4x20ml woody aquatic sweet premium fragrance,21,very_low,0,0.8948553054662379,0.86,0.5,0.8019421221864952
19_ebay,"Skinn By Titan | Tales Rio Perfume - 100 Ml | Perfume For Man | Gift for Men | Premium Fragrance | Grooming Essentials | Long Lasting Smell for Men | Fresh, Woody |Eau De Parfum",699.0,4.1,0,,ebay,skinn by titan tales rio perfume 100 ml perfume for man gift for men premium fragrance grooming essentials long lasting smell for men fresh woody eau de parfum,28,low,0,0.8202572347266881,0.82,0.5,0.7561028938906752
20_ebay,Immersion Aquatic/Mineral Fragrance Perfume | Eau de Parfum for Men & Women | Long-Lasting Luxury | Ideal Gift for All Occasions (50ml),2450.0,,0,,ebay,immersion aquatic mineral fragrance perfume eau de parfum for men women long lasting luxury ideal gift for all occasions 50ml,20,medium,2,0.2572347266881029,0.0,0.5,0.20289389067524116
21_ebay,"BLABLIBLU Old Money Perfume for Man|30ml Long-Lasting Parfum Fragrances - A Notch above EDP, EDT & EDC|Perfume For Man|Cedar, Vanilla & Chamomile Notes|",151.0,4.2,0,,ebay,blabliblu old money perfume for man 30ml long lasting parfum fragrances a notch above edp edt edc perfume for man cedar vanilla chamomile notes,24,very_low,0,0.9964630225080385,0.8400000000000001,0.5,0.8345852090032154
22_ebay,"BLABLIBLU Love Drunk Unisex Perfume for Men & Women|30ml Long-Lasting Parfum Fragrances - A Notch above EDP, EDT & EDC|Perfume For Man & Perfume for Woman |Cinnamon, Dates & Nuts Notes|",151.0,4.0,0,,ebay,blabliblu love drunk unisex perfume for men women 30ml long lasting parfum fragrances a notch above edp edt edc perfume for man perfume for woman cinnamon dates nuts notes,29,very_low,0,0.9964630225080385,0.8,0.5,0.8185852090032154
23_ebay,"BLABLIBLU Oud Honey Unisex Perfume for Men & Women|30ml Long-Lasting Parfum Fragrances - A Notch above EDP, EDT & EDC|Perfume For Man & Woman|Oud, Sweet Woody & Honey Notes|",202.0,4.5,0,,ebay,blabliblu oud honey unisex perfume for men women 30ml long lasting parfum fragrances a notch above edp edt edc perfume for man woman oud sweet woody honey notes,28,very_low,0,0.980064308681672,0.9,0.5,0.8520257234726688
24_ebay,"Layer'r Wottagirl Vanilla Twist Body Splash, 135ml | Long-Lasting Premium Mist Spray for Women | Dreamy Vanilla Scent | Everyday Wear | Refreshing & Skin-Friendly",174.0,4.1,0,,ebay,layer r wottagirl vanilla twist body splash 135ml long lasting premium mist spray for women dreamy vanilla scent everyday wear refreshing skin friendly,23,very_low,0,0.9890675241157556,0.82,0.5,0.8236270096463022
25_ebay,"BELLAVITA Skai Aquatic EDC & Fresh EDT | Long Lasting 2x20ml Perfume for Man & Woman | Gifts for Woman | Bergamot, Ylang Ylang, Pink Pepper | Premium Fragrance",179.0,4.3,0,,ebay,bellavita skai aquatic edc fresh edt long lasting 2x20ml perfume for man woman gifts for woman bergamot ylang ylang pink pepper premium fragrance,23,very_low,0,0.987459807073955,0.86,0.5,0.838983922829582
26_ebay,"Bella Vita Luxury Honey Oud Long Lasting Perfume | Perfume for Man and Woman | EDP 100ml | Bergamot, Patchouli & Vanilla | Sweet, Woody & Spicy Premium Fragrance for Men and Women",548.0,4.2,0,,ebay,bella vita luxury honey oud long lasting perfume perfume for man and woman edp 100ml bergamot patchouli vanilla sweet woody spicy premium fragrance for men and women,27,low,0,0.8688102893890675,0.8400000000000001,0.5,0.7835241157556271
27_ebay,"Bella Vita Luxury White Oud & Honey Oud | Long Lasting Perfume | Perfume for Man & Woman | EDP 2x20ml | Honey, Lemon & Patchouli | Premium Fragrance",179.0,4.3,0,,ebay,bella vita luxury white oud honey oud long lasting perfume perfume for man woman edp 2x20ml honey lemon patchouli premium fragrance,21,very_low,0,0.987459807073955,0.86,0.5,0.838983922829582
28_ebay,"Yardley London Gentleman Classic Liquid Perfume Spray, Fresh Woody Fougère Notes, Masculine Fragrance, Perfume For Men, 100ml",324.0,4.0,0,,ebay,yardley london gentleman classic liquid perfume spray fresh woody fougère notes masculine fragrance perfume for men 100ml,17,very_low,0,0.9408360128617363,0.8,0.5,0.7963344051446947
29_ebay,"Skinn by Titan, Raw Long Lasting EDP for Men - 20 mL | Perfume for Men | Eau De Parfum for Men | Premium Fragrance | Grooming Essentials",555.0,4.1,0,,ebay,skinn by titan raw long lasting edp for men 20 ml perfume for men eau de parfum for men premium fragrance grooming essentials,23,low,0,0.8665594855305466,0.82,0.5,0.7746237942122186
30_ebay,"Engage Perfume Gift Set for Men and Women, 100ml, Luxury Long Lasting Eau De Parfum, Travel Size Perfume Combo 25ml x 4, Couple Gift",450.0,4.4,0,,ebay,engage perfume gift set for men and women 100ml luxury long lasting eau de parfum travel size perfume combo 25ml x 4 couple gift,24,very_low,0,0.9003215434083601,0.8800000000000001,0.5,0.8121286173633441
31_ebay,"Bella Vita Luxury G.O.A.T Long Lasting Perfume | Perfume for Man | Eau De Parfum 100ml | Bergamot, Patchouli & Vetiver | Spicy, Citrus, Woody & Musky Premium Fragrance",549.0,4.2,0,,ebay,bella vita luxury g o a t long lasting perfume perfume for man eau de parfum 100ml bergamot patchouli vetiver spicy citrus woody musky premium fragrance,26,low,0,0.8684887459807074,0.8400000000000001,0.5,0.783395498392283
